feature_name,rank
TMEM71,0.519320300835058
SLC12A7,0.519064681977511
RBM47,0.518669657426894
CYBA,0.518367226455461
CDRT1,0.518301389983932
HDAC10,0.517705987126851
HRASLS2,0.517535036042633
LILRB1,0.517207004706792
TGIF1,0.516962012493341
C19orf21,0.516087565582093
SH2D6,0.515853532416112
ANO2,0.515730767390673
GPR35,0.515514635888407
MYO1F,0.515033610916713
RAB3IL1,0.514261143149782
FAM209A,0.514164856959459
BMP4,0.513767993788611
EPOR,0.513668779227563
LYVE1,0.51359269911887
CYP21A2,0.513412583313288
CKM,0.512705902919617
RP11-468E2.6,0.512560657383985
TG,0.512154265459809
FUT7,0.51189815547306
CYP4B1,0.511881883541409
KRTDAP,0.511813251304957
TLR2,0.511375793776846
WFIKKN2,0.511122412710085
MUC4,0.510757915370893
CLDN6,0.509897019628415
C5AR1,0.50931486087109
PLK5,0.509211065648937
ANKLE1,0.508091482834547
SOWAHD,0.507971380732818
SLC13A4,0.507920773632808
SLC6A20,0.506063387333311
SH2D3A,0.506010893350784
OVOL3,0.505347966555942
ARL6IP4,0.50480993338342
C11orf89,0.504686974986362
ITGB2,0.504664126787493
SRPX2,0.504598536442348
PTCRA,0.504415491329771
PTGER2,0.504155034312675
CXCL11,0.502654202391199
CPZ,0.501874674195038
PRRG4,0.501030164958929
EVA1B,0.50101922713539
GOLGA7B,0.499881010392917
NFATC4,0.499587252407957
STARD10,0.499306742921587
PALM3,0.498848388390685
C11orf84,0.498739003217964
PLOD3,0.498660097641939
BATF,0.498346594842761
ATAD3C,0.497264142831032
EMX2,0.497046300981451
PARD6G,0.49647293719431
TNFRSF1B,0.496121708734007
PIK3R2,0.495296379466394
BACE2,0.494950504700306
TMEM31,0.493981612081015
KLHL17,0.493912693154871
CYP39A1,0.493876381543532
TMC8,0.493844798802489
MTHFD2,0.493532459154769
C10orf114,0.493426529610355
FZD2,0.493240075298439
C4B,0.492785575068094
RAMP3,0.492409301147218
PLIN2,0.49239182286546
PPP1R18,0.491514854974481
MS4A14,0.491434254050597
TMEM176A,0.491412891097666
GOLGA6L1,0.490720237995203
HLA-DRB5,0.48990555042867
TAL2,0.489765623431272
CLIC2,0.489124612104942
TRIM59,0.488466734270112
CP,0.487678953727729
SPIB,0.487619899598568
STX11,0.486389416508527
SALL3,0.486376396285407
TCF7L1,0.485625992684165
IRGC,0.485537159323214
MYL4,0.485327771451659
FOXD4L1,0.48528263542581
C3,0.485224577881437
GMPR,0.485028669195489
RP11-1220K2.2,0.48447797592878
SLC25A41,0.484408351522353
HLA-DRB1,0.484180884625611
SBNO2,0.483989948085335
CEACAM4,0.483513539137128
CCL20,0.483312724457986
LIME1,0.483201599528917
RP11-94B19.4,0.483142389948675
PIK3R5,0.482868357329794
TNIP2,0.482862666667002
SLC19A3,0.482383084262488
SMO,0.481723982210543
FERMT3,0.480826609257575
SDR42E2,0.480796853338521
ART3,0.480677855194736
MMRN1,0.480444059639966
LILRA2,0.480371565461032
SLC38A2,0.480294406675928
LYZ,0.480277879125337
OLAH,0.48003128664311
RASGRP4,0.479622390070006
IL27,0.479568996784809
NRN1L,0.479480500208364
VNN3,0.479305178425198
CASP1,0.478820644193064
A2ML1,0.477631338915768
TMEM100,0.477458792694254
SPACA4,0.477123743904811
LINC00862,0.476977508751709
CLEC10A,0.4767655350711
SESN2,0.476672633093813
HIST1H4D,0.476502309483507
RBPMS2,0.476269885991336
IL15RA,0.475915168691224
ANGPTL4,0.475468946486236
SLC18A1,0.475008981058982
CLCF1,0.474553128959687
FAM46A,0.474123657749929
CXCL1,0.473946758109153
SIPA1,0.473748303717251
AL645608.1,0.473637410654331
TMEM176B,0.473470832538605
KANK2,0.47317324021781
MARCH3,0.472344041817921
CBX2,0.471809658623993
FXYD5,0.471350632403357
CPT1B,0.471206573270536
MDFI,0.470781951263903
SLC26A6,0.47008513504852
RP11-366L20.2,0.469657619809916
ATHL1,0.469564250173684
FAM170A,0.469370430348558
HTRA3,0.469344965758345
FOXD4L3,0.469093261522584
LAIR1,0.468854260682593
BCL6,0.468670170106178
TM4SF18,0.468534745662255
IRF8,0.468337197514764
GPR84,0.46828688791241
TUSC5,0.46763731092003
HCRT,0.466936440502273
GSDMD,0.466661975539181
OXT,0.465971150641288
SEC14L4,0.465925830328045
RASAL3,0.46493341447212
TDRD10,0.464894299972262
MGARP,0.464607624655105
ORM2,0.464227395701782
FMO3,0.464151830035308
MB21D1,0.462936072792123
NOD2,0.462060618718501
COL5A3,0.46144388369967
E2F2,0.461397902890572
APOL1,0.461308785606028
DEDD2,0.461139549462649
F13A1,0.461017998212011
BTNL3,0.460910125668738
IFITM2,0.460188848818856
SLC3A2,0.460131501094714
RNF17,0.459249438347009
CCL2,0.45873160970168
NID1,0.458470506989964
EFCAB4A,0.45808569590592
TUBA1C,0.457837586045409
ICAM2,0.457764653489655
PXDC1,0.457603281264282
AC079210.1,0.457435233559015
C1orf172,0.457080346374874
TRIM49D1,0.455858192630246
FAM110D,0.455668257485844
PDGFRB,0.455012601879278
HIST1H3C,0.454857446004142
ADH1B,0.45474229736346
STARD8,0.454697125213036
RP11-192H23.4,0.454583938648058
MRAS,0.454155616072828
SNTG2,0.453758768026649
FOXD2,0.453020319352012
SLC25A47,0.452945303271831
